Month,New York ,New Jersey ,California,Arizona,United States
Jan-01,13.89,9.62,10.89,6.99,7.73
Feb-01,13.93,9.34,11.14,7.13,8.04
Mar-01,13.58,9.79,11.29,7.4,8.32
Apr-01,13.44,9.9,11.14,8.09,8.46
May-01,14.01,9.92,11.97,9.41,8.83
Jun-01,14.41,10.86,12.87,9.04,9.07
Jul-01,14.99,11.03,13.05,8.84,9.03
Aug-01,14.61,10.91,12.8,8.84,9.01
Sep-01,14.23,10.98,12.87,8.81,8.92
Oct-01,14.22,9.76,12.49,8.95,8.84
Nov-01,13.53,9.79,12.12,7.17,8.47
Dec-01,13.25,9.68,12.26,7.26,8.29
Jan-02,12.95,9.66,13.03,7.01,8.07
Feb-02,13,9.74,12.58,7.17,8.19
Mar-02,12.81,9.7,12.58,7.46,8.17
Apr-02,12.69,10.25,12.05,7.69,8.37
May-02,13.3,10.62,12.82,9.37,8.64
Jun-02,14.01,11.01,12.87,8.97,8.73
Jul-02,14.19,11.14,13.28,8.65,8.82
Aug-02,14.16,11.02,12.92,8.78,8.72
Sep-02,14.42,10.77,11.61,8.79,8.59
Oct-02,13.87,9.86,11.98,8.99,8.47
Nov-02,13.37,9.96,12.55,7.37,8.31
Dec-02,13.19,9.86,13.31,7.46,8.08
Jan-03,12.77,9.59,12.81,7.06,8
Feb-03,13.3,9.84,12.41,7.57,8.02
Mar-03,13.91,9.88,11.42,7.59,8.35
Apr-03,14.55,10,12.51,7.82,8.82
May-03,14.77,10.31,12.74,9.52,8.99
Jun-03,14.98,10.67,13.12,9.09,9.25
Jul-03,15.14,11.02,13.5,8.78,9.21
Aug-03,14.94,12.08,12.9,8.74,9.22
Sep-03,14.92,12.02,10.08,8.7,8.92
Oct-03,14.75,10.41,10.47,8.83,8.85
Nov-03,14.23,10.63,12.54,7.21,8.72
Dec-03,13.63,10.59,12.45,7.55,8.3
Jan-04,13.32,10.52,12.59,7.27,8.24
Feb-04,14.02,10.68,12.39,7.49,8.33
Mar-04,13.98,10.85,12.14,7.61,8.62
Apr-04,14.03,10.82,11.43,8.05,8.93
May-04,14.2,10.95,11.97,9.26,9.07
Jun-04,14.99,12.07,12.4,9.1,9.29
Jul-04,15.36,12.39,12.19,8.88,9.36
Aug-04,15.32,12.47,12.5,8.87,9.5
Sep-04,15.1,12.47,12.18,8.96,9.39
Oct-04,14.93,10.14,11.43,8.79,9.05
Nov-04,14.88,10.03,12.5,8.05,8.96
Dec-04,14.29,10.02,12.4,7.86,8.58
Jan-05,14.05,10.53,12.19,7.75,8.52
Feb-05,14.53,10.58,12.33,7.99,8.76
Mar-05,14.4,10.69,11.28,8.19,8.87
Apr-05,14.64,10.45,12.12,8.67,9.22
May-05,15.36,10.99,12.57,9.6,9.56
Jun-05,15.58,12.5,13.4,9.41,9.79
Jul-05,15.63,12.95,13.16,9.3,9.77
Aug-05,16.16,13.27,13.43,9.28,9.93
Sep-05,16.69,12.74,12.14,9.3,9.94
Oct-05,17.36,11.42,11.3,9.23,9.76
Nov-05,17.57,11.09,12.8,8.12,9.76
Dec-05,16.53,11.13,12.91,7.88,9.27
Jan-06,16.61,11.21,13.14,8.05,9.55
Feb-06,16.66,11.34,13.45,8.21,9.8
Mar-06,15.89,11.36,13.72,8.38,9.87
Apr-06,16.36,11.31,13.99,8.92,10.32
May-06,16.56,11.46,14.04,10.19,10.61
Jun-06,17.33,14.01,15.17,10.05,10.85
Jul-06,17.56,14.57,16.65,9.9,10.96
Aug-06,17.74,14.75,14.89,9.88,10.94
Sep-06,17.92,13.85,14.57,9.89,10.94
Oct-06,17.22,12.54,12.2,9.88,10.58
Nov-06,16.33,12.17,14.47,8.74,10.18
Dec-06,15.88,12.44,14.47,8.56,9.84
Jan-07,16.09,12.48,14.98,8.33,10.06
Feb-07,15.89,12.56,14.18,8.46,9.89
Mar-07,16.83,12.52,13.82,8.8,10.27
Apr-07,17.14,12.51,13.74,9.19,10.63
May-07,17.5,13.05,14.15,10.2,10.77
Jun-07,18.17,15.52,14.72,9.96,11.09
Jul-07,17.27,16.03,15.13,10.37,11.07
Aug-07,17.96,16.3,15.11,10.33,11.07
Sep-07,17.15,15.28,15.1,10.17,10.96
Oct-07,17.48,13.67,12.53,10.16,10.82
Nov-07,16.94,13.51,14.37,9.08,10.7
Dec-07,16.66,13.63,14.46,8.89,10.33
Jan-08,16.87,13.92,13.73,8.85,10.14
Feb-08,17.32,14.01,13.36,9.02,10.16
Mar-08,16.93,13.83,13.15,9.38,10.45
Apr-08,18.05,13.77,12.93,10.02,10.93
May-08,18.74,14.27,13.55,11.03,11.4
Jun-08,19.41,16.84,14.5,11.06,11.77
