SURVEY,CASE_ID,STATE,SQFT_BINNED,EDUC_BINNED,INCOME_BINNED,PN2,STANCE,INFLNC_PPLTALK,BUY_LEASE
ADOPTER,1342,4,1,4,5,4,2,4,2
ADOPTER,1343,4,2,2,4,4,5,3,2
ADOPTER,1344,4,4,99,99,4,90,3,1
ADOPTER,1345,4,,2,3,1,5,2,99
ADOPTER,1346,4,4,2,1,3,3,2,2
ADOPTER,1347,4,2,3,95,5,3,4,1
ADOPTER,1348,4,2,4,5,5,1,3,1
ADOPTER,1349,4,3,3,5,5,2,4,2
ADOPTER,1350,4,2,3,3,3,4,2,2
ADOPTER,1351,4,3,3,1,5,3,4,2
ADOPTER,1352,4,2,3,4,5,1,4,99
ADOPTER,1353,2,1,2,95,2,5,1,2
ADOPTER,1354,2,4,,95,3,4,4,2
ADOPTER,1355,2,2,,4,4,3,4,2
ADOPTER,1356,1,4,3,4,4,4,4,99
ADOPTER,1357,4,3,2,3,5,2,4,2
ADOPTER,1358,4,3,4,99,5,3,4,99
ADOPTER,1359,4,,3,5,98,90,3,1
ADOPTER,1360,4,3,2,3,3,97,3,2
ADOPTER,1361,4,4,3,5,4,2,2,2
ADOPTER,1362,4,3,4,2,5,2,4,1
ADOPTER,1363,4,,3,5,4,4,2,2
ADOPTER,1364,4,4,3,3,4,4,4,2
ADOPTER,1365,4,3,4,99,3,3,2,1
ADOPTER,1366,4,2,4,3,4,2,2,2
ADOPTER,1367,4,2,4,5,5,2,2,
ADOPTER,1368,1,,2,4,4,4,2,2
ADOPTER,1369,4,1,3,4,4,3,2,2
ADOPTER,1370,4,3,,95,4,3,2,1
ADOPTER,1371,4,3,2,5,3,4,3,2
ADOPTER,1372,4,2,3,4,3,4,4,2
ADOPTER,1373,2,,1,2,5,97,3,99
ADOPTER,1374,4,1,3,1,1,4,3,1
ADOPTER,1375,4,2,2,4,4,4,4,2
ADOPTER,1376,4,1,4,5,3,90,2,1
ADOPTER,1377,4,1,3,2,4,3,3,2
ADOPTER,1378,1,3,3,95,4,99,4,2
ADOPTER,1379,4,4,2,4,4,3,2,1
ADOPTER,1380,2,4,2,4,5,90,2,2
ADOPTER,1381,4,2,3,5,4,2,2,2
ADOPTER,1382,4,2,3,5,1,5,2,1
ADOPTER,1383,4,2,3,4,2,4,2,1
ADOPTER,1384,4,4,1,3,3,4,4,2
ADOPTER,1385,4,2,2,4,4,2,4,2
ADOPTER,1386,1,,1,3,4,4,2,2
ADOPTER,1387,4,2,4,2,3,4,4,2
ADOPTER,1388,4,2,4,4,1,4,1,1
ADOPTER,1389,4,3,4,5,5,3,2,2
ADOPTER,1390,2,2,2,2,5,4,4,2
ADOPTER,1391,4,,4,3,5,3,2,2
ADOPTER,1392,4,2,2,4,4,3,4,2
ADOPTER,1393,4,3,3,4,4,2,3,1
ADOPTER,1394,3,,2,1,5,2,3,1
ADOPTER,1395,4,4,4,5,3,5,3,1
ADOPTER,1396,4,2,2,99,4,99,4,2
ADOPTER,1397,4,4,3,,4,3,2,1
ADOPTER,1398,1,4,2,4,3,3,2,2
ADOPTER,1399,4,3,4,4,3,3,3,2
ADOPTER,1400,4,1,3,99,5,99,2,1
ADOPTER,1401,4,,3,95,5,4,3,99
ADOPTER,1402,4,3,4,4,5,2,2,1
ADOPTER,1403,2,3,4,95,2,4,4,2
ADOPTER,1404,4,1,,95,3,97,2,2
ADOPTER,1405,4,,4,5,4,2,3,1
ADOPTER,1406,1,2,1,2,3,97,2,2
ADOPTER,1407,4,4,4,5,2,4,2,2
ADOPTER,1408,2,,3,4,5,2,2,2
ADOPTER,1409,4,2,2,2,5,3,3,2
ADOPTER,1410,4,2,1,3,3,2,4,2
ADOPTER,1411,2,2,4,5,5,3,4,2
ADOPTER,1412,4,4,3,4,1,5,2,1
ADOPTER,1413,1,3,,5,5,3,3,99
ADOPTER,1414,4,2,2,5,3,3,2,99
ADOPTER,1415,4,,1,95,4,99,1,99
ADOPTER,1416,1,4,4,4,5,4,4,2
ADOPTER,1417,4,4,4,4,1,4,2,1
ADOPTER,1418,2,4,3,4,5,3,1,2
ADOPTER,1419,4,1,1,2,1,3,3,2
ADOPTER,1420,4,4,3,3,3,4,3,2
ADOPTER,1421,4,2,2,5,4,3,4,1
ADOPTER,1422,4,2,3,2,1,5,1,99
ADOPTER,1423,4,4,3,5,4,4,4,2
ADOPTER,1424,4,3,3,95,4,4,3,1
ADOPTER,1425,4,3,2,4,4,1,3,1
ADOPTER,1426,4,2,,1,5,2,2,2
ADOPTER,1427,4,4,4,4,3,4,4,1
ADOPTER,1428,4,3,2,4,4,97,2,99
ADOPTER,1429,4,3,4,95,4,3,3,1
ADOPTER,1430,4,1,2,2,5,4,4,
ADOPTER,1431,4,4,3,4,4,3,4,1
ADOPTER,1432,2,1,,4,5,90,1,1
ADOPTER,1433,4,2,2,5,1,4,3,2
ADOPTER,1434,4,2,,5,98,3,4,2
ADOPTER,1435,4,2,4,2,1,4,1,2
ADOPTER,1436,4,3,,95,3,5,4,2
ADOPTER,1437,4,2,4,5,3,3,2,1
ADOPTER,1438,4,2,2,2,4,3,3,1
ADOPTER,1439,4,4,4,5,4,3,4,1
ADOPTER,1440,2,3,1,1,5,4,3,2
ADOPTER,1441,1,2,2,95,4,3,3,2
ADOPTER,1442,2,2,2,,3,4,3,99
ADOPTER,1443,4,3,2,4,4,4,2,1
ADOPTER,1444,2,3,2,3,3,3,4,2
ADOPTER,1445,4,3,3,4,4,2,4,1
ADOPTER,1446,1,,1,2,3,3,1,2
ADOPTER,1447,4,1,2,,5,2,3,2
ADOPTER,1448,4,3,3,95,4,3,4,1
ADOPTER,1449,4,3,3,4,3,3,4,2
ADOPTER,1450,4,4,,5,3,90,1,1
ADOPTER,1451,4,3,2,95,3,4,1,99
ADOPTER,1452,4,2,,5,1,4,3,1
ADOPTER,1453,4,1,,4,4,1,4,2
ADOPTER,1454,4,2,4,5,5,1,4,1
ADOPTER,1455,4,2,4,2,5,3,3,2
ADOPTER,1456,4,4,2,,4,4,99,99
ADOPTER,1457,4,3,2,2,3,4,3,1
ADOPTER,1458,4,,2,95,4,2,3,2
ADOPTER,1459,4,3,2,2,3,97,2,2
ADOPTER,1460,4,3,2,4,2,3,4,1
ADOPTER,1461,2,,4,5,4,3,2,2
ADOPTER,1462,4,2,3,3,3,3,3,2
ADOPTER,1463,2,4,3,4,5,4,4,
ADOPTER,1464,1,1,3,,5,2,2,2
ADOPTER,1465,2,,1,1,99,99,99,2
ADOPTER,1466,1,1,2,3,4,2,2,2
ADOPTER,1467,4,2,3,2,5,2,3,2
ADOPTER,1468,2,,1,1,5,3,3,2
ADOPTER,1469,1,,1,3,5,97,3,2
ADOPTER,1470,4,2,2,,3,4,4,2
ADOPTER,1471,4,4,3,2,4,5,3,2
ADOPTER,1472,4,4,3,4,5,3,3,2
ADOPTER,1473,4,2,3,5,4,3,3,1
ADOPTER,1474,4,3,4,95,5,2,4,2
ADOPTER,1475,2,,4,5,5,2,3,2
ADOPTER,1476,4,3,2,4,4,3,3,2
ADOPTER,1477,4,3,,3,3,5,4,1
ADOPTER,1478,4,2,3,95,5,97,1,2
ADOPTER,1479,4,1,2,2,4,97,3,2
ADOPTER,1480,2,,2,5,4,3,3,2
ADOPTER,1481,4,2,4,2,5,4,3,2
ADOPTER,1482,4,3,99,99,5,3,3,2
ADOPTER,1483,4,1,2,2,3,4,3,1
ADOPTER,1484,4,2,4,4,1,4,2,2
ADOPTER,1485,4,2,2,4,1,99,3,2
ADOPTER,1486,4,3,3,5,4,97,4,1
ADOPTER,1487,1,2,4,95,5,2,1,2
ADOPTER,1488,4,2,3,3,4,2,4,2
ADOPTER,1489,4,3,4,4,2,4,3,2
ADOPTER,1490,4,2,2,2,3,4,2,2
ADOPTER,1491,2,2,4,5,1,4,4,99
ADOPTER,1492,2,1,3,95,4,3,3,2
ADOPTER,1493,4,3,3,5,4,3,3,1
ADOPTER,1494,1,,1,1,3,97,2,2
ADOPTER,1495,4,4,4,95,5,4,4,1
ADOPTER,1496,4,1,2,5,4,2,2,2
ADOPTER,1497,4,1,4,3,3,3,2,2
ADOPTER,1498,4,2,3,2,1,3,3,2
ADOPTER,1499,4,3,2,3,2,4,5,2
ADOPTER,1500,4,1,2,5,3,99,99,99
ADOPTER,1501,4,4,3,5,3,97,4,1
ADOPTER,1502,4,4,4,4,5,2,2,99
ADOPTER,1503,4,1,2,1,5,4,1,2
ADOPTER,1504,4,3,2,4,4,4,4,2
ADOPTER,1505,4,,4,5,3,4,3,1
ADOPTER,1506,4,4,4,5,2,97,2,1
ADOPTER,1507,4,2,3,4,4,3,4,2
ADOPTER,1508,1,,3,3,5,2,4,2
ADOPTER,1509,4,4,4,95,5,2,1,
ADOPTER,1510,4,3,3,4,98,97,4,2
ADOPTER,1511,4,1,2,3,3,3,4,1
ADOPTER,1512,4,4,3,4,4,3,4,1
ADOPTER,1513,4,2,2,5,1,3,5,2
ADOPTER,1514,2,,4,4,5,3,3,2
ADOPTER,1515,4,1,2,1,3,4,3,1
ADOPTER,1516,1,2,2,4,4,4,4,2
ADOPTER,1517,4,2,4,2,4,3,3,1
ADOPTER,1518,4,1,1,95,4,97,3,2
ADOPTER,1519,4,3,3,5,3,3,3,1
ADOPTER,1520,4,2,1,5,5,3,2,1
